Total or partial,Franchise,League,From,To,Years,G,W,L,WL,Playoffs,Div,Conf,Champ
Total,San Antonio Spurs,NBA/ABA,1967-68,2022-23,56,4529,2661,1868,.588,47,22,6,5
Partial,San Antonio Spurs,NBA,1976-77,2022-23,47,3785,2283,1502,.603,39,22,6,5
Partial,San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,.579,3,0,0,0
Partial,Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,.357,1,0,0,0
Partial,Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,.495,4,0,0,0
Total,Toronto Raptors,NBA,1995-96,2022-23,28,2228,1071,1157,.481,14,7,1,1
Total,Utah Jazz,NBA,1974-75,2022-23,49,3950,2146,1804,.543,31,11,2,0
Partial,Utah Jazz,NBA,1979-80,2022-23,44,3540,1985,1555,.561,31,11,2,0
Partial,New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,.393,0,0,0,0
Total,Washington Wizards,NBA,1961-62,2022-23,62,5005,2257,2748,.451,30,8,4,1
Partial,Washington Wizards,NBA,1997-98,2022-23,26,2064,879,1185,.426,9,1,0,0
Partial,Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,.470,13,2,3,1
Partial,Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,.573,1,1,0,0
Partial,Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,.493,7,4,1,0
Partial,Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,.313,0,0,0,0
Partial,Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,.225,0,0,0,0
